,Wish You Were Here by Pink Floyd,A-Punk by Vampire Weekend,I'm a Mess by Bebe Rexha,Fight Song by Rachel Platten,Good as Hell by Lizzo,Lemon by N.E.R.D
Take Back The Power by The Interrupters,0.9566237135786264,0.952281245767393,0.9588561621847824,0.9340643802146609,0.9512829678271018,0.94162422639286
Malfeitor by Watain,0.9662142288916871,0.9618846631306401,0.9714777168979895,0.9511112564672478,0.9593951032781503,0.9546250483715993
In the Lobby by Sosamann,0.9583741542419641,0.9491792478591414,0.967611615829639,0.9489990853699414,0.953179089696313,0.955739274081362
Fast by Chief Keef,0.9559390482346861,0.944503625409986,0.9624544521511595,0.9439194719656813,0.9453486873417349,0.9484723586206584
Magnolia Blvd. by Butcher Babies,0.960806834154565,0.9594882151269519,0.9622701132334972,0.9501313101116664,0.9492792379227272,0.9412719904729976
It's Gonna Take an Airplane by Destroyer,0.9634350890639024,0.9523538143968918,0.9629251590263805,0.9384727271414871,0.9453163145057881,0.9461720950100048
Scorpio Rising by Soccer Mommy,0.9626749221586404,0.9531706903585171,0.9556128725138766,0.9274915643821638,0.9439679425242296,0.9316658522506598
Heart Attack (츄) by LOOΠΔ,0.9574628253621569,0.9493187161284872,0.9677399985888328,0.9434244985182361,0.9518400947419705,0.9547094971901522
Beat The Odds (feat. YFN Lucci) by Derez De’Shon,0.955809845631336,0.9416065932603689,0.9601008120885018,0.9334191396673899,0.9456584163442899,0.9474597272800624
When I Was Down by OMB Peezy,0.9566470177677483,0.9499010062445238,0.9623501274562729,0.9403404732401389,0.9434683072964748,0.9473189802092924
Amsterdam Hotel Room by Laura Jane Grace & the Devouring Mothers,0.9619240403581194,0.9522700590165836,0.9612610243889486,0.9327494572585868,0.9485959629850483,0.9423203539119818
Insane by Cavalera Conspiracy,0.968970274393607,0.9613751145641704,0.9747223178158514,0.9511990971092102,0.9576463887722095,0.9601679750381606
Beautiful Strangers by Kevin Morby,0.9653157277946105,0.954329024339197,0.9599912168472038,0.9354477221811021,0.9464743546918712,0.9418707879740241
Generator by Turnstile,0.9650164587592578,0.9620936763538878,0.9648563273606142,0.95173283646223,0.9502266873545264,0.944726121409281
Cuando Te Besé by Becky G,0.9581024112753269,0.9468409164541332,0.96111923310691,0.936488644212304,0.9472837760405618,0.9454791288025846
No Te Pido Mucho by Alta Consigna,0.9542330207217858,0.9459840671334372,0.954708946995869,0.9371037265239636,0.942374962177154,0.9373388532611694
Dumb Dumb by Red Velvet,0.939254122563093,0.9338616345154533,0.9564535376191499,0.938852885794443,0.9439491412286811,0.9495141111710043
Sour Breath by Julien Baker,0.9497780110723459,0.9416084848096739,0.953265039415522,0.9331088554977227,0.9379505734413138,0.9407912112670671
Cuckoo Wake up Call by Cosmo Sheldrake,0.9613369820217437,0.9537728042272904,0.9695833399223106,0.943709593097426,0.960117595725597,0.9583331584081263
Mess Her Up - Single Edit by Amy Shark,0.9598395218276978,0.9549065900475011,0.9665350627509903,0.9457324019506248,0.9531770917882344,0.9522862425674448
The Mountain by Gunship,0.965479761056987,0.9570618404867398,0.9685672515553609,0.956136606141489,0.9473892502630163,0.9520538384021037
Pull Up (feat. Ty Dolla $ign) by Lil Duval,0.946684332771834,0.9380477636533917,0.9589336856185402,0.9386232323909551,0.9421135108226809,0.9512652620583169
"You, In Weird Cities by Jeff Rosenstock",0.965916791858175,0.9604373644948246,0.9696042093911154,0.948139003831263,0.9545778301992642,0.9535626571016067
Motion by Boy Harsher,0.9657075840746379,0.9550361829410708,0.9675300031438415,0.9457098926376364,0.9506405837752999,0.9512575414722707
Electricity (with Dua Lipa) by Silk City,0.9626390649464907,0.9552414491293639,0.9686260521371959,0.9543999252194575,0.9531265856401829,0.9555120772154204
In My Arms by Beres Hammond,0.9600174410710003,0.9488839541246125,0.9591385552549352,0.9411524057873303,0.947439984246535,0.9443078472963424
King of Love by I AM THEY,0.9617963393975996,0.9573636907988832,0.9618534476015994,0.9541087811274485,0.9508576323134343,0.9443491737076803
Teenage Heartbreak Queen by Palaye Royale,0.9659309148750643,0.9567418447262823,0.9728557778803874,0.9493435493753918,0.9580620709266469,0.961399992523065
Torn Apart by Avatar,0.9648610459662768,0.9556920519671833,0.9736099281127435,0.9411814947726226,0.9579188661500642,0.9580203177086496
On My Mind (Jorja Smith X Preditah) by Jorja Smith,0.9500192163806498,0.9417754596736555,0.9603837612797732,0.931883703064159,0.9481358689140331,0.9483431837120639
Pleasures by Seaway,0.9596695791957952,0.9525825975487499,0.9669611714103672,0.9415784694131308,0.9489817237605331,0.9524102686996074
DDD by EXID,0.9553353774683067,0.94823023052371,0.9673600416801649,0.9445452479422176,0.9513132421752137,0.9564673804140493
Inhumane by Gruesome,0.9646122273719693,0.9574073361711174,0.9714788388504396,0.9510917067206309,0.9522370484064903,0.9575727293070712
Robarte un Beso by Carlos Vives,0.9559202273951211,0.9493863424436186,0.9641805215356718,0.9505768581932057,0.9500760453714632,0.957320884467618
Permanent High School by The Voidz,0.9629314272591014,0.9556474977194087,0.9613056554168184,0.94860092144264,0.9429083723174294,0.9391998118286711
REDBLUE (feat. J.I.D) by Rapsody,0.9552636469561693,0.9489591172230483,0.963809056807976,0.9402362814246951,0.9504132740783449,0.9483785625515664
Wrong Bitch by Todrick Hall,0.9534415292892486,0.9448706509255701,0.9618043860797298,0.9410250813802729,0.9487481970555005,0.947451659526906
Of Mind - Nocturne by TesseracT,0.9678113858638411,0.9618139575051903,0.9707293950566178,0.9465499393158436,0.9557007042861114,0.9515370103431324
I Will Spend My Whole Life Loving You by Imaginary Future,0.9608339366073528,0.9528090158916802,0.9661187197261494,0.9525824139616411,0.9452667398383725,0.9530202997803776
Other People by LP,0.9659076922143748,0.9550364984429105,0.9685008915537632,0.944027421539599,0.9513331694717415,0.9525596797820954
Diamond Drive by Ex Hex,0.9685195036811601,0.9612755458888751,0.9647981116440909,0.9411813229611403,0.9536608131851351,0.9438755863991029
Pursuit by Gesaffelstein,0.953578726347857,0.9469259659780702,0.9575985717889841,0.9348983917586116,0.9511872231040366,0.942720934748035
Dream Launch by WayV,0.9603176587985964,0.9505831097342419,0.9693475202244273,0.9506710314604274,0.9486000012595918,0.9575049253480488
Destiny by Kymberli Joye,0.9684420152679596,0.9596653861051015,0.972286893722937,0.949341031462752,0.9565747227825911,0.9575580441287215
Strangers by Lucius,0.9652760732473419,0.957305464471985,0.9649790154787891,0.9451846700752587,0.9458686889719583,0.9461139741546492
Wanderlust by Black Country Communion,0.9597659676553789,0.9497800901925905,0.9535798203316235,0.9221771625607249,0.9478108958242821,0.9305634613160543
If She Only Knew by Micah Tyler,0.9638122813537455,0.9571588776003102,0.9662622994750538,0.9525255476053784,0.9545740909817944,0.9513972125880439
Skin by Rag'n'Bone Man,0.9649511112444085,0.9579478970874227,0.9709161746154791,0.9498796339407097,0.9588042019073582,0.9558438089663406
Not Broken Anymore by Justin Furstenfeld,0.9543943690929515,0.9404923270383829,0.9543931734060119,0.9235507181881841,0.9453655586101652,0.9432715435067122
"Be Still, My Soul by GENTRI",0.9627756560664721,0.9525285932415299,0.9595062727966415,0.9321176800229125,0.9437833620070541,0.9375367223201705
Boy In The Bubble by Alec Benjamin,0.9633335622807216,0.9548130050480911,0.9683889885282477,0.9569063831003337,0.9481203945207123,0.9556257663382159
Wash It Away by Nahko and Medicine for the People,0.970830813370259,0.9619208341180157,0.9718789067240345,0.949243676738046,0.9555972254678399,0.9530725410441067
Laughin at You by G-Mo Skee,0.9600006803140887,0.9555459898459321,0.9632391828579847,0.9487376511350748,0.9506069983209423,0.9456583832221992
Rough Soul by GoldLink,0.9512174060786469,0.9408753096559179,0.9599267165424517,0.937128138737366,0.9420491780225382,0.9506984245142104
Don't Know Why by CyHi The Prynce,0.9545711574078348,0.9457086582941469,0.9660402454291395,0.9425837189393163,0.9511457110289921,0.9560608300338518
When We Were Younger Men by American Aquarium,0.9579930367780467,0.953050554339414,0.9578234686046188,0.9509919898508715,0.9351783319707624,0.9395919548903902
Me Tiene Mal by Paulo Londra,0.9618348760495739,0.9514961085311566,0.9605356209446915,0.9388186887247628,0.9498591210898619,0.9454539088759621
The Magic Spider by Nekrogoblikon,0.9633851081929982,0.9598258233578579,0.9680015971991136,0.9546940911368007,0.9545773124245391,0.9505562003079857
The One I've Been Waiting For by Jan Daley,0.9657651675350134,0.9551260030801165,0.9637419604675628,0.9407878561671703,0.9541667038021358,0.9463337179567479
Stick 'Em Up by Masked Intruder,0.9618881746145376,0.9551785123972567,0.963079886007562,0.9493196051487754,0.9450922220927729,0.9457057880836219
THE INNOCENT by FEVER 333,0.9652230542603379,0.957612291122936,0.9737872698638202,0.9509112562247077,0.9561361537327266,0.9601530811697845
Lethal Legacy by Gruesome,0.960608585092864,0.9523403430169459,0.9681190379041917,0.9462484904014776,0.9495400648476648,0.9554892827887803
