,track_name,artist,duration,popularity,release_date,mp3,track_id,artist_id
73,Priceless,for KING & COUNTRY,208520,60,2015-10-22,https://p.scdn.co/mp3-preview/d4450b99ea73b8b5e6f34db44d2c2ed564f54142?cid=80aa7a928c4541428fab1590b72d13b5,7BTmtN6bP35E54vVASTqao,3sDbKMebVH2VYcRSl7u1VC
74,Fix My Eyes,for KING & COUNTRY,215933,59,2015-10-22,https://p.scdn.co/mp3-preview/a7089319b7ebbac7df0606076eb837fd78e22c72?cid=80aa7a928c4541428fab1590b72d13b5,7zJg7aNCvTKW9EtG1Dvzkl,3sDbKMebVH2VYcRSl7u1VC
75,Pioneers,for KING & COUNTRY,323946,58,2018-10-05,https://p.scdn.co/mp3-preview/1d8f02b90e7be8579b3c86f81df2051a8914857a?cid=80aa7a928c4541428fab1590b72d13b5,2fOs1YeQPjNEIZgLbI80h5,3sDbKMebVH2VYcRSl7u1VC
76,Burn The Ships,for KING & COUNTRY,276400,57,2018-10-05,https://p.scdn.co/mp3-preview/e784a12fb360115da068b3c85333af803f7b1868?cid=80aa7a928c4541428fab1590b72d13b5,6qNSq6OKjNgXAn3Kj9HBKf,3sDbKMebVH2VYcRSl7u1VC
77,joy. (R3HAB Remix),for KING & COUNTRY,171500,56,2019-01-25,https://p.scdn.co/mp3-preview/0738e01bb92b6e21a7443a0c3768b8fe356cb9ee?cid=80aa7a928c4541428fab1590b72d13b5,1BmdqDrBU5eohtRwHBls6C,3sDbKMebVH2VYcRSl7u1VC
78,"Fight On, Fighter",for KING & COUNTRY,218106,56,2018-10-05,https://p.scdn.co/mp3-preview/0c89c67756827a5eefc906a095cf37de914ad3f2?cid=80aa7a928c4541428fab1590b72d13b5,7lPM8uXuIO5MDWv6L0TPaZ,3sDbKMebVH2VYcRSl7u1VC
79,Shoulders,for KING & COUNTRY,303306,56,2015-10-22,https://p.scdn.co/mp3-preview/7d251b0915450a01983d630d862f95b16c63e434?cid=80aa7a928c4541428fab1590b72d13b5,5MCG4XcVcvCOXWpSg2cfRC,3sDbKMebVH2VYcRSl7u1VC
80,Need You Now,Lady Antebellum,236440,70,2010-01-01,,7GAaTpSoTWUTbP2Yxlt4Hd,32WkQRZEVKSzVAAYqukAEA
81,Need You Now,Lady Antebellum,277573,65,2010-01-01,,11EX5yhxr9Ihl3IN1asrfK,32WkQRZEVKSzVAAYqukAEA
82,Bartender,Lady Antebellum,198266,61,2014-09-30,,6olKv2HP3XgBpvVxAswowe,32WkQRZEVKSzVAAYqukAEA
83,Just A Kiss,Lady Antebellum,218840,61,2011-01-01,,2nRvKHh2mtOfIQ4jcAkP9q,32WkQRZEVKSzVAAYqukAEA
84,You Look Good,Lady Antebellum,181000,60,2017-06-09,,1dFLowBW25EaL2OC7eKEa2,32WkQRZEVKSzVAAYqukAEA
85,I Run To You,Lady Antebellum,256013,59,2008-01-01,,2YVCkTYJpv5jelYrHYoEG8,32WkQRZEVKSzVAAYqukAEA
