,track_name,artist,duration,popularity,release_date,mp3,track_id,artist_id
82,I Cannot,Fight The Fury,230360,38,10/26/18,https://p.scdn.co/mp3-preview/5fbfc06da6d454112ad9fb59fefd690290c9bc03?cid=80aa7a928c4541428fab1590b72d13b5,1avLMLqGUU5VpupFqZAOLD,0y6TDfwRN2HEHcFizxp1Je
83,Lose Hold Of It All,Fight The Fury,281266,37,10/26/18,https://p.scdn.co/mp3-preview/b96e2f647b46377ae767ab46071ce9f4856662c7?cid=80aa7a928c4541428fab1590b72d13b5,6hz1yzKPSygrZ0E14m6xtJ,0y6TDfwRN2HEHcFizxp1Je
84,Still Burning,Fight The Fury,245733,37,10/26/18,https://p.scdn.co/mp3-preview/54e78d472cfe836709255cc4f3a40ce8d31336d8?cid=80aa7a928c4541428fab1590b72d13b5,1VXxyJjFLeiusbZcAClZqU,0y6TDfwRN2HEHcFizxp1Je
85,Rise Up,Andra Day,253342,74,8/28/15,https://p.scdn.co/mp3-preview/21b2fabb6435c0b766d491dbd9be019c803202b6?cid=80aa7a928c4541428fab1590b72d13b5,0tV8pOpiNsKqUys0ilUcXz,1c4rxrxy8eDLvMVL1DTiBe
86,Forever Mine,Andra Day,199079,50,8/28/15,https://p.scdn.co/mp3-preview/0b4c95c71062f5304a3d3f177a9fa8355da713ca?cid=80aa7a928c4541428fab1590b72d13b5,5dS4r8s7z5r1LpivqrCP0U,1c4rxrxy8eDLvMVL1DTiBe
87,Burn,Andra Day,219440,47,12/2/16,https://p.scdn.co/mp3-preview/f166d781302f574ade889773a2859e4ae1458450?cid=80aa7a928c4541428fab1590b72d13b5,2ZVWg6VCq8FQdeD5yuWD9r,1c4rxrxy8eDLvMVL1DTiBe
88,Amen,Andra Day,183741,47,10/9/18,https://p.scdn.co/mp3-preview/672ae5eae4dc28ab0dab371b428797db630f1d9d?cid=80aa7a928c4541428fab1590b72d13b5,7KjfifeaIx10XJTnAgWtlr,1c4rxrxy8eDLvMVL1DTiBe
89,In the Room: Cruisin',Gallant,210651,46,6/27/17,https://p.scdn.co/mp3-preview/bf22c56044fe40cc551502398cae8acec83fef8f?cid=80aa7a928c4541428fab1590b72d13b5,18zyJEDv55EzsAqRSm162n,7wFDo161xYdeaiLz3KIHoM
90,City Burns,Andra Day,293120,41,8/28/15,https://p.scdn.co/mp3-preview/c1271c112fa90fa1791a4adb578afd2051d4a7c0?cid=80aa7a928c4541428fab1590b72d13b5,5hL8VGl2wsLWSXPiTq3Fdk,1c4rxrxy8eDLvMVL1DTiBe
91,Rise Up - MSTR ROGERS Remix,Andra Day,203209,41,12/9/16,https://p.scdn.co/mp3-preview/0eb99337be487460ed2d4c5aef4bc3f8a025af17?cid=80aa7a928c4541428fab1590b72d13b5,70P1JmN0iiSOqSnVc94Sqw,1c4rxrxy8eDLvMVL1DTiBe
